"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Grays Harbor"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","746","1.966","Federal"
"Grays Harbor"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","196","0.5165","Federal"
"Grays Harbor"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","28","0.0738","Federal"
"Grays Harbor"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","31","0.0817","Federal"
"Grays Harbor"," President/Vice President","WRITE-IN"," ","182","0.4796","Federal"
"Grays Harbor","Congressional District 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","18134","49.0957","Congressional"
"Grays Harbor","Congressional District 6 U.S. Representative","Elizabeth Kreiselmaier","(Prefers Republican Party)","18738","50.731","Congressional"
"Grays Harbor","Congressional District 6 U.S. Representative","WRITE-IN"," ","64","0.1733","Congressional"
"Grays Harbor","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","16320","43.2112","State Executive"
"Grays Harbor","Washington State Governor","Loren Culp","(Prefers Republican Party)","21337","56.4949","State Executive"
"Grays Harbor","Washington State Governor","WRITE-IN"," ","111","0.2939","State Executive"
"Grays Harbor","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","17340","53.3079","State Executive"
"Grays Harbor","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","8042","24.7233","State Executive"
"Grays Harbor","Washington State Lt. Governor","WRITE-IN"," ","7146","21.9688","State Executive"
"Grays Harbor","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","23197","62.8117","State Executive"
"Grays Harbor","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","13678","37.0366","State Executive"
"Grays Harbor","Washington State Secretary of State","WRITE-IN"," ","56","0.1516","State Executive"
"Grays Harbor","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","16509","45.1399","State Executive"
"Grays Harbor","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","20019","54.7371","State Executive"
"Grays Harbor","Washington State State Treasurer","WRITE-IN"," ","45","0.123","State Executive"
"Grays Harbor","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","17367","47.4716","State Executive"
"Grays Harbor","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","19170","52.4","State Executive"
"Grays Harbor","Washington State State Auditor","WRITE-IN"," ","47","0.1285","State Executive"
"Grays Harbor","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","16819","45.6653","State Executive"
"Grays Harbor","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","19966","54.2098","State Executive"
"Grays Harbor","Washington State Attorney General","WRITE-IN"," ","46","0.1249","State Executive"
"Grays Harbor","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","16439","45.0989","State Executive"
"Grays Harbor","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","19980","54.8133","State Executive"
"Grays Harbor","Washington State Commissioner of Public Lands","WRITE-IN"," ","32","0.0878","State Executive"
"Grays Harbor","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","16705","51.1654","State Executive"
"Grays Harbor","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","15767","48.2924","State Executive"
"Grays Harbor","Washington State Superintendent of Public Instruction","WRITE-IN"," ","177","0.5421","State Executive"
"Grays Harbor","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","20222","56.6332","State Executive"
"Grays Harbor","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","15350","42.9888","State Executive"
"Grays Harbor","Washington State Insurance Commissioner","WRITE-IN"," ","135","0.3781","State Executive"
"Grays Harbor","Legislative District 19 State Senator","Dean Takko","(Prefers Democratic Party)","7765","47.3793","Legislative"
"Grays Harbor","Legislative District 19 State Senator","Jeff Wilson","(Prefers Republican Party)","8606","52.5108","Legislative"
"Grays Harbor","Legislative District 19 State Senator","WRITE-IN"," ","18","0.1098","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)","9405","57.2568","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 1","Marianna Everson","(Prefers Democratic Party)","7002","42.6275","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 1","WRITE-IN"," ","19","0.1157","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 2","Joel McEntire","(Prefers Republican Party)","8016","48.8096","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)","8397","51.1295","Legislative"
"Grays Harbor","Legislative District 19 State Representative Pos. 2","WRITE-IN"," ","10","0.0609","Legislative"
"Grays Harbor","Legislative District 24 State Senator","Kevin Van De Wege","(Prefers Democratic Party)","9088","45.4377","Legislative"
"Grays Harbor","Legislative District 24 State Senator","Connie Beauvais","(Prefers Republican Party)","10896","54.4773","Legislative"
"Grays Harbor","Legislative District 24 State Senator","WRITE-IN"," ","17","0.085","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 1","Mike Chapman","(Prefers Democratic Party)","9028","45.1852","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 1","Sue Forde","(Prefers Republican Party)","10933","54.7197","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 1","WRITE-IN"," ","19","0.0951","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)","8900","44.5981","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 2","Brian Pruiett","(Prefers Republican Party)","11038","55.3117","Legislative"
"Grays Harbor","Legislative District 24 State Representative Pos. 2","WRITE-IN"," ","18","0.0902","Legislative"
"Grays Harbor"," Commissioner #1","JILL WARNE","(Prefers Republican Party)","20523","56.5902","County"
"Grays Harbor"," Commissioner #1","Jamie Nichols","(Prefers Democrat Party)","15711","43.3216","County"
"Grays Harbor"," Commissioner #1","WRITE-IN"," ","32","0.0882","County"
"Grays Harbor"," Commissioner #2","Kevin R Pine","(Prefers Republicans Party)","19071","53.8303","County"
"Grays Harbor"," Commissioner #2","Randy Ross"," ","16243","45.8479","County"
"Grays Harbor"," Commissioner #2","WRITE-IN"," ","114","0.3218","County"
"Grays Harbor","Supreme Court Justice Position #03","Dave Larson"," ","16930","52.7661","Judicial"
"Grays Harbor","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","15023","46.8225","Judicial"
"Grays Harbor","Supreme Court Justice Position #03","WRITE-IN"," ","132","0.4114","Judicial"
"Grays Harbor","Supreme Court Justice Position #04","Charles W. Johnson"," ","25730","97.6471","Judicial"
"Grays Harbor","Supreme Court Justice Position #04","WRITE-IN"," ","620","2.3529","Judicial"
"Grays Harbor","Supreme Court Justice Position #06","Richard S. Serns"," ","12926","41.631","Judicial"
"Grays Harbor","Supreme Court Justice Position #06","G. Helen Whitener"," ","17956","57.8312","Judicial"
"Grays Harbor","Supreme Court Justice Position #06","WRITE-IN"," ","167","0.5379","Judicial"
"Grays Harbor","Supreme Court Justice Position #07","Debra L. Stephens"," ","25722","97.7205","Judicial"
"Grays Harbor","Supreme Court Justice Position #07","WRITE-IN"," ","600","2.2795","Judicial"
"Grays Harbor","Court of Appeals, Division 2, District 2 Judge Position 1","Lisa L. Sutton"," ","25762","98.5313","Judicial"
"Grays Harbor","Court of Appeals, Division 2, District 2 Judge Position 1","WRITE-IN"," ","384","1.4687","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 1","Katie Svoboda"," ","26747","97.9851","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 1","WRITE-IN"," ","550","2.0149","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 2","David L. Edwards"," ","26284","98.0673","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 2","WRITE-IN"," ","518","1.9327","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 3","David Mistachkin"," ","26222","97.9164","Judicial"
"Grays Harbor","Grays Harbor Superior Court Judge Position 3","WRITE-IN"," ","558","2.0836","Judicial"
"Grays Harbor","PUD District PUD Comm (3)","Russ Skolrood"," ","26662","98.3221","Public Utility"
"Grays Harbor","PUD District PUD Comm (3)","WRITE-IN"," ","455","1.6779","Public Utility"
"Grays Harbor","City of Hoquiam GENERAL OBLIGATION BONDS FOR FIRE TRUCK - $875,000","APPROVED?"," ","2404","67.9288","City/Town"
"Grays Harbor","City of Hoquiam GENERAL OBLIGATION BONDS FOR FIRE TRUCK - $875,000","REJECTED?"," ","1135","32.0712","City/Town"
"Grays Harbor","Sch Dist 65 - McCleary Replacement Educational Programs and Operations Levy","LEVY..YES"," ","901","52.2925","School"
"Grays Harbor","Sch Dist 65 - McCleary Replacement Educational Programs and Operations Levy","LEVY...NO"," ","822","47.7075","School"
"Grays Harbor","Fire District 2 Proposition Establishing Property Tax Levy for Fire Protection","Approved"," ","2216","57.7384","Fire"
"Grays Harbor","Fire District 2 Proposition Establishing Property Tax Levy for Fire Protection","Rejected"," ","1622","42.2616","Fire"
"Grays Harbor","Fire Protection Dist 12 Emergency Medical Services Regular Property Levy","Levy...Yes"," ","48","63.1579","Fire"
"Grays Harbor","Fire Protection Dist 12 Emergency Medical Services Regular Property Levy","Levy...No"," ","28","36.8421","Fire"
"Island","Washington State Referendum Measure No. 90","Approved"," ","28459","54.6248","State Executive"
"Island","Washington State Referendum Measure No. 90","Rejected"," ","23640","45.3752","State Executive"
"Island","Washington State Advisory Vote No. 32","Repealed"," ","31374","62.5878","State Executive"
"Island","Washington State Advisory Vote No. 32","Maintained"," ","18754","37.4122","State Executive"
"Island","Washington State Advisory Vote No. 33","Repealed"," ","31350","62.7665","State Executive"
"Island","Washington State Advisory Vote No. 33","Maintained"," ","18597","37.2335","State Executive"
"Island","Washington State Advisory Vote No. 34","Repealed"," ","31984","64.8526","State Executive"
"Island","Washington State Advisory Vote No. 34","Maintained"," ","17334","35.1474","State Executive"
"Island","Washington State Advisory Vote No. 35","Repealed"," ","28154","56.5944","State Executive"
"Island","Washington State Advisory Vote No. 35","Maintained"," ","21593","43.4056","State Executive"
"Island","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","21759","43.3887","State Executive"
"Island","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","28390","56.6113","State Executive"
"Island"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","29213","54.1734","Federal"
"Island"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","22746","42.1808","Federal"
"Island"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","1288","2.3885","Federal"
"Island"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","216","0.4006","Federal"
"Island"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","51","0.0946","Federal"
"Island"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","25","0.0464","Federal"
"Island"," President/Vice President","WRITE-IN"," ","386","0.7158","Federal"
"Island","Congressional District 2 U.S. Representative","Rick Larsen","(Prefers Democratic Party)","29131","55.4106","Congressional"
"Island","Congressional District 2 U.S. Representative","Timothy S. Hazelo","(Prefers Republican Party)","23350","44.4144","Congressional"
"Island","Congressional District 2 U.S. Representative","WRITE-IN"," ","92","0.175","Congressional"
"Island","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","28239","52.7467","State Executive"
"Island","Washington State Governor","Loren Culp","(Prefers Republican Party)","25145","46.9675","State Executive"
"Island","Washington State Governor","WRITE-IN"," ","153","0.2858","State Executive"
