"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Kitsap","Washington State Advisory Vote No. 33","Repealed"," ","90859","61.3498","State Executive"
"Kitsap","Washington State Advisory Vote No. 33","Maintained"," ","57241","38.6502","State Executive"
"Kitsap","Washington State Advisory Vote No. 34","Repealed"," ","92254","62.8176","State Executive"
"Kitsap","Washington State Advisory Vote No. 34","Maintained"," ","54606","37.1824","State Executive"
"Kitsap","Washington State Advisory Vote No. 35","Repealed"," ","81103","54.7982","State Executive"
"Kitsap","Washington State Advisory Vote No. 35","Maintained"," ","66900","45.2018","State Executive"
"Kitsap","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","64462","43.395","State Executive"
"Kitsap","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","84085","56.605","State Executive"
"Kitsap"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","90277","56.8954","Federal"
"Kitsap"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","61563","38.7989","Federal"
"Kitsap"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","4813","3.0333","Federal"
"Kitsap"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","723","0.4557","Federal"
"Kitsap"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","143","0.0901","Federal"
"Kitsap"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","106","0.0668","Federal"
"Kitsap"," President/Vice President","WRITE-IN"," ","1047","0.6599","Federal"
"Kitsap","Congressional District 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","91800","59.376","Congressional"
"Kitsap","Congressional District 6 U.S. Representative","Elizabeth Kreiselmaier","(Prefers Republican Party)","62454","40.3951","Congressional"
"Kitsap","Congressional District 6 U.S. Representative","WRITE-IN"," ","354","0.229","Congressional"
"Kitsap","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","87766","55.6947","State Executive"
"Kitsap","Washington State Governor","Loren Culp","(Prefers Republican Party)","69288","43.9689","State Executive"
"Kitsap","Washington State Governor","WRITE-IN"," ","530","0.3363","State Executive"
"Kitsap","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","67714","48.3323","State Executive"
"Kitsap","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","45176","32.2453","State Executive"
"Kitsap","Washington State Lt. Governor","WRITE-IN"," ","27211","19.4224","State Executive"
"Kitsap","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","83886","54.5675","State Executive"
"Kitsap","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","69638","45.2992","State Executive"
"Kitsap","Washington State Secretary of State","WRITE-IN"," ","205","0.1334","State Executive"
"Kitsap","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","80988","53.1662","State Executive"
"Kitsap","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","71180","46.7275","State Executive"
"Kitsap","Washington State State Treasurer","WRITE-IN"," ","162","0.1063","State Executive"
"Kitsap","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","86608","57.0849","State Executive"
"Kitsap","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","64956","42.8136","State Executive"
"Kitsap","Washington State State Auditor","WRITE-IN"," ","154","0.1015","State Executive"
"Kitsap","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","85262","55.5037","State Executive"
"Kitsap","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","68176","44.3811","State Executive"
"Kitsap","Washington State Attorney General","WRITE-IN"," ","177","0.1152","State Executive"
"Kitsap","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","84685","55.638","State Executive"
"Kitsap","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","67347","44.247","State Executive"
"Kitsap","Washington State Commissioner of Public Lands","WRITE-IN"," ","175","0.115","State Executive"
"Kitsap","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","72954","52.8618","State Executive"
"Kitsap","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","64327","46.6107","State Executive"
"Kitsap","Washington State Superintendent of Public Instruction","WRITE-IN"," ","728","0.5275","State Executive"
"Kitsap","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","96674","65.0272","State Executive"
"Kitsap","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","51120","34.3856","State Executive"
"Kitsap","Washington State Insurance Commissioner","WRITE-IN"," ","873","0.5872","State Executive"
"Kitsap","Legislative District 23 State Senator","Christine Rolfes","(Prefers Democratic Party)","55170","63.886","Legislative"
"Kitsap","Legislative District 23 State Senator","Pam Madden-Boyer","(Prefers Republican Party)","31107","36.0214","Legislative"
"Kitsap","Legislative District 23 State Senator","WRITE-IN"," ","80","0.0926","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 1","Tarra Simmons","(Prefers Democratic Party)","53154","61.8674","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 1","April Ferguson","(Prefers Republican Party)","32620","37.9673","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 1","WRITE-IN"," ","142","0.1653","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 2","Drew Hansen","(Prefers Democratic Party)","53425","62.2444","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 2","Elaina Gonzales-Blanton","(Prefers Republican Party)","32317","37.6519","Legislative"
"Kitsap","Legislative District 23 State Representative Pos. 2","WRITE-IN"," ","89","0.1037","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)","22646","52.3728","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 1","Carrie Hesch","(Prefers Democratic Party)","20514","47.4422","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 1","WRITE-IN"," ","80","0.185","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 2","Joy Stanford","(Prefers Democratic Party)","19631","45.3739","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)","23502","54.321","Legislative"
"Kitsap","Legislative District 26 State Representative Pos. 2","WRITE-IN"," ","132","0.3051","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)","13365","58.3115","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 1","Colton Myers","(Prefers Democratic Party)","9533","41.5925","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 1","WRITE-IN"," ","22","0.096","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)","12962","56.7563","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 2","Darcy Huffman","(Prefers Democratic Party)","9855","43.1518","Legislative"
"Kitsap","Legislative District 35 State Representative Pos. 2","WRITE-IN"," ","21","0.092","Legislative"
"Kitsap"," Commissioner District 1","Robert (Rob) Gelder","(Prefers Democratic Party)","84020","55.7051","County"
"Kitsap"," Commissioner District 1","Scott Henden","(Prefers Republican Party)","66643","44.1842","County"
"Kitsap"," Commissioner District 1","WRITE-IN"," ","167","0.1107","County"
"Kitsap"," Commissioner District 2","Oran R. Root","(Prefers Republican Party)","69869","46.3018","County"
"Kitsap"," Commissioner District 2","Charlotte Garrido","(Prefers Democrat Party)","80828","53.5643","County"
"Kitsap"," Commissioner District 2","WRITE-IN"," ","202","0.1339","County"
"Kitsap","Supreme Court Justice Position #03","Dave Larson"," ","54549","39.887","Judicial"
"Kitsap","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","81598","59.6655","Judicial"
"Kitsap","Supreme Court Justice Position #03","WRITE-IN"," ","612","0.4475","Judicial"
"Kitsap","Supreme Court Justice Position #04","Charles W. Johnson"," ","109072","97.11","Judicial"
"Kitsap","Supreme Court Justice Position #04","WRITE-IN"," ","3246","2.89","Judicial"
"Kitsap","Supreme Court Justice Position #06","Richard S. Serns"," ","43135","32.1754","Judicial"
"Kitsap","Supreme Court Justice Position #06","G. Helen Whitener"," ","90065","67.1816","Judicial"
"Kitsap","Supreme Court Justice Position #06","WRITE-IN"," ","862","0.643","Judicial"
"Kitsap","Supreme Court Justice Position #07","Debra L. Stephens"," ","109369","97.3796","Judicial"
"Kitsap","Supreme Court Justice Position #07","WRITE-IN"," ","2943","2.6204","Judicial"
"Kitsap","Court of Appeals, Division 2, District 2 Judge Position 1","Lisa L. Sutton"," ","108029","98.0388","Judicial"
"Kitsap","Court of Appeals, Division 2, District 2 Judge Position 1","WRITE-IN"," ","2161","1.9612","Judicial"
"Kitsap","Kitsap Superior Court Judge Position 1","Tina Robinson"," ","80911","61.1161","Judicial"
"Kitsap","Kitsap Superior Court Judge Position 1","Lynn Fleischbein"," ","50573","38.2003","Judicial"
"Kitsap","Kitsap Superior Court Judge Position 1","WRITE-IN"," ","905","0.6836","Judicial"
"Kitsap","Public Utility District No. 1 Commissioner District 2","Jim Civilla"," ","107804","98.3963","Public Utility"
"Kitsap","Public Utility District No. 1 Commissioner District 2","WRITE-IN"," ","1757","1.6037","Public Utility"
"Kitsap","Central Kitsap Fire and Rescue Proposition No. 1","Approved"," ","29529","72.8571","Fire"
"Kitsap","Central Kitsap Fire and Rescue Proposition No. 1","Rejected"," ","11001","27.1429","Fire"
"Kitsap","South Kitsap Fire and Rescue Proposition No. 1","Approved"," ","25626","58.813","Fire"
"Kitsap","South Kitsap Fire and Rescue Proposition No. 1","Rejected"," ","17946","41.187","Fire"
"Kittitas","Washington State Referendum Measure No. 90","Approved"," ","12040","47.9013","State Executive"
"Kittitas","Washington State Referendum Measure No. 90","Rejected"," ","13095","52.0987","State Executive"
"Kittitas","Washington State Advisory Vote No. 32","Repealed"," ","16792","69.1797","State Executive"
"Kittitas","Washington State Advisory Vote No. 32","Maintained"," ","7481","30.8203","State Executive"
"Kittitas","Washington State Advisory Vote No. 33","Repealed"," ","17229","71.1824","State Executive"
"Kittitas","Washington State Advisory Vote No. 33","Maintained"," ","6975","28.8176","State Executive"
"Kittitas","Washington State Advisory Vote No. 34","Repealed"," ","17358","72.573","State Executive"
"Kittitas","Washington State Advisory Vote No. 34","Maintained"," ","6560","27.427","State Executive"
"Kittitas","Washington State Advisory Vote No. 35","Repealed"," ","15179","63.3223","State Executive"
"Kittitas","Washington State Advisory Vote No. 35","Maintained"," ","8792","36.6777","State Executive"
"Kittitas","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","8831","36.379","State Executive"
"Kittitas","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","15444","63.621","State Executive"
"Kittitas"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","11246","43.0667","Federal"
"Kittitas"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","14042","53.774","Federal"
"Kittitas"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","529","2.0258","Federal"
"Kittitas"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","100","0.383","Federal"
"Kittitas"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","21","0.0804","Federal"
"Kittitas"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","9","0.0345","Federal"
"Kittitas"," President/Vice President","WRITE-IN"," ","166","0.6357","Federal"
"Kittitas","Congressional District 8 U.S. Representative","Kim Schrier","(Prefers Democratic Party)","11403","44.5691","Congressional"
"Kittitas","Congressional District 8 U.S. Representative","Jesse Jensen","(Prefers Republican Party)","14141","55.2707","Congressional"
"Kittitas","Congressional District 8 U.S. Representative","WRITE-IN"," ","41","0.1603","Congressional"
"Kittitas","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","10364","39.963","State Executive"
"Kittitas","Washington State Governor","Loren Culp","(Prefers Republican Party)","15483","59.7016","State Executive"
"Kittitas","Washington State Governor","WRITE-IN"," ","87","0.3355","State Executive"
"Kittitas","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","8637","38.3373","State Executive"
"Kittitas","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","6159","27.3381","State Executive"
"Kittitas","Washington State Lt. Governor","WRITE-IN"," ","7733","34.3246","State Executive"
"Kittitas","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","16904","66.9015","State Executive"
"Kittitas","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","8346","33.0312","State Executive"
"Kittitas","Washington State Secretary of State","WRITE-IN"," ","17","0.0673","State Executive"
"Kittitas","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","9829","39.3901","State Executive"
"Kittitas","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","15108","60.5458","State Executive"
"Kittitas","Washington State State Treasurer","WRITE-IN"," ","16","0.0641","State Executive"
"Kittitas","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","10607","42.6772","State Executive"
"Kittitas","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","14236","57.2785","State Executive"
"Kittitas","Washington State State Auditor","WRITE-IN"," ","11","0.0443","State Executive"
"Kittitas","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","10527","41.7871","State Executive"
"Kittitas","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","14641","58.1177","State Executive"
"Kittitas","Washington State Attorney General","WRITE-IN"," ","24","0.0953","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","10591","42.386","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","14377","57.5379","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","WRITE-IN"," ","19","0.076","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","11010","49.2045","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","11277","50.3977","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","WRITE-IN"," ","89","0.3977","State Executive"
"Kittitas","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","12772","53.0399","State Executive"
"Kittitas","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","11172","46.3953","State Executive"
"Kittitas","Washington State Insurance Commissioner","WRITE-IN"," ","136","0.5648","State Executive"
"Kittitas","Legislative District 13 State Representative Pos. 1","Tom Dent","(Prefers Republican Party)","16142","64.3851","Legislative"
"Kittitas","Legislative District 13 State Representative Pos. 1","Eduardo Castaneda-D&#237;az","(Prefers Democratic Party)","8912","35.547","Legislative"
"Kittitas","Legislative District 13 State Representative Pos. 1","WRITE-IN"," ","17","0.0678","Legislative"
"Kittitas","Legislative District 13 State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)","19274","97.255","Legislative"
"Kittitas","Legislative District 13 State Representative Pos. 2","WRITE-IN"," ","544","2.745","Legislative"
"Kittitas"," Commissioner 1","Cory Wright","(Prefers Republican Party)","13229","59.5633","County"
"Kittitas"," Commissioner 1","Kristin Ashley","(Prefers Republican Party)","8764","39.4597","County"
"Kittitas"," Commissioner 1","WRITE-IN"," ","217","0.977","County"
"Kittitas"," Commissioner 2","Laura Osiadacz","(Prefers Republican Party)","14771","66.56","County"
"Kittitas"," Commissioner 2","Jerry Martens","(Prefers Republican Party)","7190","32.3991","County"
"Kittitas"," Commissioner 2","WRITE-IN"," ","231","1.0409","County"
"Kittitas"," Sheriff","Clay Myers","(Prefers Republican Party)","16312","70.0567","County"
"Kittitas"," Sheriff","Bart Olson","(Prefers Republican Party)","6774","29.0929","County"
"Kittitas"," Sheriff","WRITE-IN"," ","198","0.8504","County"
"Kittitas","Supreme Court Justice Position #03","Dave Larson"," ","11626","53.8415","Judicial"
"Kittitas","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","9903","45.8621","Judicial"
"Kittitas","Supreme Court Justice Position #03","WRITE-IN"," ","64","0.2964","Judicial"
"Kittitas","Supreme Court Justice Position #04","Charles W. Johnson"," ","16731","98.2443","Judicial"
"Kittitas","Supreme Court Justice Position #04","WRITE-IN"," ","299","1.7557","Judicial"
"Kittitas","Supreme Court Justice Position #06","Richard S. Serns"," ","8680","42.5866","Judicial"
"Kittitas","Supreme Court Justice Position #06","G. Helen Whitener"," ","11614","56.9817","Judicial"
"Kittitas","Supreme Court Justice Position #06","WRITE-IN"," ","88","0.4318","Judicial"
"Kittitas","Supreme Court Justice Position #07","Debra L. Stephens"," ","16594","98.3465","Judicial"
"Kittitas","Supreme Court Justice Position #07","WRITE-IN"," ","279","1.6535","Judicial"
"Kittitas","Court of Appeals, Division 3, District 3 Judge Position 1","Rebecca Pennell"," ","16324","98.8734","Judicial"
"Kittitas","Court of Appeals, Division 3, District 3 Judge Position 1","WRITE-IN"," ","186","1.1266","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 1","Candace Hooper"," ","17213","98.3375","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 1","WRITE-IN"," ","291","1.6625","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 2","Scott R Sparks"," ","17786","98.9761","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 2","WRITE-IN"," ","184","1.0239","Judicial"
"Kittitas","PUBLIC UTILITY DISTRICT 1 Commissioner 1","Rick Catlin"," ","11954","57.7991","Public Utility"
"Kittitas","PUBLIC UTILITY DISTRICT 1 Commissioner 1","Patrick Kelleher"," ","8616","41.6594","Public Utility"
"Kittitas","PUBLIC UTILITY DISTRICT 1 Commissioner 1","WRITE-IN"," ","112","0.5415","Public Utility"
"Klickitat","Washington State Referendum Measure No. 90","Approved"," ","6067","47.8244","State Executive"
"Klickitat","Washington State Referendum Measure No. 90","Rejected"," ","6619","52.1756","State Executive"
"Klickitat","Washington State Advisory Vote No. 32","Repealed"," ","9144","71.6165","State Executive"
"Klickitat","Washington State Advisory Vote No. 32","Maintained"," ","3624","28.3835","State Executive"
"Klickitat","Washington State Advisory Vote No. 33","Repealed"," ","9148","72.4078","State Executive"
"Klickitat","Washington State Advisory Vote No. 33","Maintained"," ","3486","27.5922","State Executive"
"Klickitat","Washington State Advisory Vote No. 34","Repealed"," ","9057","72.7236","State Executive"
"Klickitat","Washington State Advisory Vote No. 34","Maintained"," ","3397","27.2764","State Executive"
"Klickitat","Washington State Advisory Vote No. 35","Repealed"," ","7943","63.2203","State Executive"
"Klickitat","Washington State Advisory Vote No. 35","Maintained"," ","4621","36.7797","State Executive"
"Klickitat","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","4305","34.2591","State Executive"
"Klickitat","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","8261","65.7409","State Executive"
"Klickitat"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","5959","43.9454","Federal"
"Klickitat"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","7237","53.3702","Federal"
"Klickitat"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","211","1.556","Federal"
"Klickitat"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","50","0.3687","Federal"
"Klickitat"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","13","0.0959","Federal"
"Klickitat"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","11","0.0811","Federal"
"Klickitat"," President/Vice President","WRITE-IN"," ","79","0.5826","Federal"
"Klickitat","Congressional District 3 U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)","7800","58.9792","Congressional"
"Klickitat","Congressional District 3 U.S. Representative","Carolyn Long","(Prefers Democratic Party)","5404","40.862","Congressional"
"Klickitat","Congressional District 3 U.S. Representative","WRITE-IN"," ","21","0.1588","Congressional"
"Klickitat","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","5693","42.3114","State Executive"
"Klickitat","Washington State Governor","Loren Culp","(Prefers Republican Party)","7735","57.4879","State Executive"
"Klickitat","Washington State Governor","WRITE-IN"," ","27","0.2007","State Executive"
"Klickitat","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","4489","40.3107","State Executive"
"Klickitat","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","3326","29.8671","State Executive"
"Klickitat","Washington State Lt. Governor","WRITE-IN"," ","3321","29.8222","State Executive"
"Klickitat","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","8022","61.3631","State Executive"
"Klickitat","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","5025","38.438","State Executive"
"Klickitat","Washington State Secretary of State","WRITE-IN"," ","26","0.1989","State Executive"
"Klickitat","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","5346","41.0757","State Executive"
"Klickitat","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","7650","58.7783","State Executive"
"Klickitat","Washington State State Treasurer","WRITE-IN"," ","19","0.146","State Executive"
"Klickitat","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","5779","44.5121","State Executive"
"Klickitat","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","7190","55.3801","State Executive"
"Klickitat","Washington State State Auditor","WRITE-IN"," ","14","0.1078","State Executive"
"Klickitat","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","5750","43.9502","State Executive"
"Klickitat","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","7312","55.8893","State Executive"
"Klickitat","Washington State Attorney General","WRITE-IN"," ","21","0.1605","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","5586","42.9725","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","7394","56.8813","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","WRITE-IN"," ","19","0.1462","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","5358","47.7242","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","5777","51.4563","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","WRITE-IN"," ","92","0.8195","State Executive"
"Klickitat","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","6454","51.5866","State Executive"
"Klickitat","Washington State Insurance Commissioner","Chirayu Avinash Patel","(Prefers Republican Party)","5992","47.8939","State Executive"
"Klickitat","Washington State Insurance Commissioner","WRITE-IN"," ","65","0.5195","State Executive"
"Klickitat","Legislative District 14 State Senator","Curtis P. King","(Prefers Republican Party)","8931","94.9198","Legislative"
"Klickitat","Legislative District 14 State Senator","WRITE-IN"," ","478","5.0802","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 1","Chris Corry","(Prefers Republican Party)","7597","58.497","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 1","Tracy Rushing","(Prefers Democratic Party)","5377","41.4029","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 1","WRITE-IN"," ","13","0.1001","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 2","Gina Mosbrucker","(Prefers Republican Party)","7809","60.1479","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 2","Devin Kuh","(Prefers Democratic Party)","5151","39.675","Legislative"
"Klickitat","Legislative District 14 State Representative Pos. 2","WRITE-IN"," ","23","0.1772","Legislative"
"Klickitat","Klickitat Klickitat County Commissioner 1","Joanna Turner","(Prefers Democrat Party)","5207","39.9034","County"
"Klickitat","Klickitat Klickitat County Commissioner 1","Jacob Anderson","(Prefers Republican Party)","7830","60.0046","County"
"Klickitat","Klickitat Klickitat County Commissioner 1","WRITE-IN"," ","12","0.092","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","Dan Christopher","(Prefers Republican Party)","5875","49.3905","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","Jim Sizemore","(Prefers Republican Party)","5807","48.8188","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","WRITE-IN"," ","213","1.7907","County"
"Klickitat","Supreme Court Justice Position #03","Dave Larson"," ","5280","48.0962","Judicial"
"Klickitat","Supreme Court Justice Position #03","Raquel Montoya-Lewis"," ","5642","51.3937","Judicial"
"Klickitat","Supreme Court Justice Position #03","WRITE-IN"," ","56","0.5101","Judicial"
"Klickitat","Supreme Court Justice Position #04","Charles W. Johnson"," ","8047","97.4449","Judicial"
"Klickitat","Supreme Court Justice Position #04","WRITE-IN"," ","211","2.5551","Judicial"
"Klickitat","Supreme Court Justice Position #06","Richard S. Serns"," ","4105","38.8768","Judicial"
"Klickitat","Supreme Court Justice Position #06","G. Helen Whitener"," ","6379","60.4129","Judicial"
"Klickitat","Supreme Court Justice Position #06","WRITE-IN"," ","75","0.7103","Judicial"
"Klickitat","Supreme Court Justice Position #07","Debra L. Stephens"," ","8055","97.6364","Judicial"
"Klickitat","Supreme Court Justice Position #07","WRITE-IN"," ","195","2.3636","Judicial"
"Klickitat","Court of Appeals, Division 3, District 3 Judge Position 1","Rebecca Pennell"," ","7731","98.4089","Judicial"
"Klickitat","Court of Appeals, Division 3, District 3 Judge Position 1","WRITE-IN"," ","125","1.5911","Judicial"
"Klickitat","Klickitat, Skamania Superior Court Judge Position 1","Randall Krog"," ","7693","98.0875","Judicial"
"Klickitat","Klickitat, Skamania Superior Court Judge Position 1","WRITE-IN"," ","150","1.9125","Judicial"
"Klickitat","PUBLIC UTILITY DISTRICT # 1 Public Utility District #1 Commissioner Pos. 3","Dan G. Gunkel"," ","8043","97.3022","Public Utility"
"Klickitat","PUBLIC UTILITY DISTRICT # 1 Public Utility District #1 Commissioner Pos. 3","WRITE-IN"," ","223","2.6978","Public Utility"
"Klickitat","HOSPITAL DISTRICT # 1 Proposition No. 1","APPROVED"," ","2950","56.6002","Hospital"
"Klickitat","HOSPITAL DISTRICT # 1 Proposition No. 1","REJECTED"," ","2262","43.3998","Hospital"
"Klickitat","HOSPITAL DISTRICT # 2 Proposition No. 1","APPROVED"," ","3915","53.9256","Hospital"
"Klickitat","HOSPITAL DISTRICT # 2 Proposition No. 1","REJECTED"," ","3345","46.0744","Hospital"
"Lewis","Washington State Referendum Measure No. 90","Approved"," ","14515","32.7194","State Executive"
"Lewis","Washington State Referendum Measure No. 90","Rejected"," ","29847","67.2806","State Executive"
"Lewis","Washington State Advisory Vote No. 32","Repealed"," ","35149","80.8023","State Executive"
"Lewis","Washington State Advisory Vote No. 32","Maintained"," ","8351","19.1977","State Executive"
"Lewis","Washington State Advisory Vote No. 33","Repealed"," ","34541","79.7548","State Executive"
"Lewis","Washington State Advisory Vote No. 33","Maintained"," ","8768","20.2452","State Executive"
"Lewis","Washington State Advisory Vote No. 34","Repealed"," ","35028","81.5098","State Executive"
"Lewis","Washington State Advisory Vote No. 34","Maintained"," ","7946","18.4902","State Executive"
"Lewis","Washington State Advisory Vote No. 35","Repealed"," ","31186","72.3019","State Executive"
"Lewis","Washington State Advisory Vote No. 35","Maintained"," ","11947","27.6981","State Executive"
"Lewis","Washington State Engrossed Senate Joint Resolution No. 8212","Approved"," ","12295","28.6817","State Executive"
"Lewis","Washington State Engrossed Senate Joint Resolution No. 8212","Rejected"," ","30572","71.3183","State Executive"
"Lewis"," President/Vice President","Joseph R. Biden / Kamala D. Harris","(Democratic Party Nominees)","14520","32.0466","Federal"
"Lewis"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","29391","64.8679","Federal"
